Policy name,Resource path,AD groups,Read,Write,Execute,Comment
pol-hdfs-sys-cn_rw,/apps/hive/warehouse/xx_xx_uat,pol-hdfs_sys-cn_rw,X,X,X,Update on 3/11/2016
,,pol-hdfs_sys-cn_ro,X,,X,
